UTM_X_m	UTM_Y_m	Radar_mm	Pluv_mm
485303	2162682	1.29	1.00
484253	2157150	2.48	2.50
487403	2154937	2.79	1.75
490552	2153830	1.06	0.50
489502	2151601	2.88	0.50
480054	2157142	1.62	1.50
481104	2154828	2.41	2.25
483203	2152713	2.15	2.50
475855	2149399	1.89	1.75
486353	2148284	2.24	1.75
482155	2149394	1.31	1.00
492651	2147174	0.57	0.25
494751	2149386	0.27	0.25
477955	2144973	2.73	2.75
472694	2140554	0.67	0.75
473739	2137233	2.77	2.25
481095	2139437	3.15	2.75
482154	2144968	1.46	1.25
486348	2141645	2.27	1.25
471645	2141662	1.25	1.25
468489	2138348	0.43	0.50
462178	2133934	0.18	0.25
474787	2135019	1.17	1.25
472682	2132809	0.43	0.25
485294	2137220	3.49	2.50
491597	2138323	1.20	0.25
504199	2136108	1.27	0.25
497899	2133895	1.39	1.00
498949	2131682	4.03	3.75
480038	2133906	1.86	2.00
486341	2132793	4.19	2.75
482135	2129478	7.79	7.75
485282	2122836	0.96	0.75
489495	2136111	1.92	0.50
490542	2128365	1.50	1.25
497898	2129469	7.39	7.75
477955	2157144	1.68	1.75
494751	2165983	0.62	0.25
473755	2148298	1.46	1.50
466407	2144991	0.51	0.50
485303	2152711	3.70	3.50
491602	2149387	0.85	0.25
488451	2146070	1.97	0.50
471654	2147195	1.31	0.25
469543	2140559	1.01	1.00
467433	2135030	0.24	0.25
470588	2137238	0.50	0.50
500000	2140533	1.04	0.25
503149	2123937	0.19	0.25
472686	2135022	0.21	0.25
